station_id,station_name,chain,address,city,region,country,fuel_type,price_eur_l,last_updated
LT0006,Circle K Šiauliai,Circle K,Savanorių al. 55,Šiauliai,Šiaulių apskritis,Lithuania,Benzinas 95,1.688,2024-07-21 20:29
LT0022,Circle K Plungė,Circle K,Pramonės pr. 46,Plungė,Telšių apskritis,Lithuania,LPG,0.782,2024-02-25 12:55
LT0241,Astarta Utena,Astarta,Savanorių g. 101,Utena,Utenos apskritis,Lithuania,LPG,0.779,2024-08-18 14:42
LT0024,Circle K Palanga,Circle K,Didlaukio al. 8,Palanga,Klaipėdos apskritis,Lithuania,Benzinas 98,1.883,2024-05-15 01:06
LT0175,Lukoil Skuodas,Lukoil,Laisvės pr. 58,Skuodas,Klaipėdos apskritis,Lithuania,Dyzelinas,1.524,2024-02-06 07:24
LT0091,Viada Zarasai,Viada,Architektų pr. 65,Zarasai,Utenos apskritis,Lithuania,LPG,0.721,2024-09-19 04:53
LT0004,Circle K Klaipėda,Circle K,Laisvės pr. 26,Klaipėda,Klaipėdos apskritis,Lithuania,Dyzelinas,1.621,2024-12-25 21:41
LT0026,Circle K Druskininkai,Circle K,Didlaukio g. 77,Druskininkai,Alytaus apskritis,Lithuania,Dyzelinas,1.535,2024-12-06 12:43
LT0113,Neste Telšiai,Neste,Vytauto g. 28,Telšiai,Telšių apskritis,Lithuania,Benzinas 98,1.847,2024-07-06 01:25
LT0295,Lietuva Ukmergė,Lietuva,Konstitucijos al. 40,Ukmergė,Vilniaus apskritis,Lithuania,Benzinas 98,1.846,2024-03-10 11:18
LT0136,Neste Varėna,Neste,Saltoniškių g. 89,Varėna,Alytaus apskritis,Lithuania,Benzinas 95,1.739,2024-12-09 12:50
LT0115,Neste Visaginas,Neste,Naugarduko al. 122,Visaginas,Utenos apskritis,Lithuania,Dyzelinas,1.529,2024-11-11 23:53
LT0106,Neste Mažeikiai,Neste,Panerių g. 33,Mažeikiai,Telšių apskritis,Lithuania,Benzinas 95,1.745,2024-11-24 02:28
LT0244,Astarta Telšiai,Astarta,Geležinio Vilko pr. 52,Telšiai,Telšių apskritis,Lithuania,Dyzelinas,1.676,2024-04-01 16:34
LT0251,Astarta Plungė,Astarta,Savanorių al. 85,Plungė,Telšių apskritis,Lithuania,Benzinas 98,1.795,2024-10-14 20:00
LT0279,Lietuva Šiauliai,Lietuva,Ukmergės pl. 148,Šiauliai,Šiaulių apskritis,Lithuania,Benzinas 95,1.571,2024-03-30 13:32
LT0180,Lukoil Radviliškis,Lukoil,Kauno pl. 130,Radviliškis,Šiaulių apskritis,Lithuania,LPG,0.69,2024-06-07 02:32
LT0116,Neste Tauragė,Neste,Naugarduko al. 122,Tauragė,Tauragės apskritis,Lithuania,Benzinas 95,1.717,2024-07-07 10:43
LT0303,Lietuva Biržai,Lietuva,Dariaus ir Girėno g. 64,Biržai,Panevėžio apskritis,Lithuania,Benzinas 98,1.771,2024-11-16 01:03
LT0198,Orlen Jonava,Orlen,Naugarduko al. 146,Jonava,Kauno apskritis,Lithuania,Benzinas 98,1.888,2024-09-09 17:19
LT0026,Circle K Druskininkai,Circle K,Didlaukio g. 77,Druskininkai,Alytaus apskritis,Lithuania,LPG,0.775,2024-03-30 19:36
LT0110,Neste Utena,Neste,Laisvės g. 41,Utena,Utenos apskritis,Lithuania,LPG,0.777,2024-09-20 17:06
