station_id,station_name,chain,address,city,country,fuel_type,price_eur_l
ST09585,Jet Odense,Jet,80 Forest Ave,Odense,Denmark,Diesel,1.847
ST01651,Agip Sillamae,Agip,116 Highland St,Sillamae,Estonia,Gasoline 98,1.851
ST05180,Astarta Liege,Astarta,190 Clifton St,Liege,Belgium,Gasoline 95,1.8
ST09240,Shell Constanta,Shell,129 Oak Rd,Constanta,Romania,Diesel,1.566
ST06122,Aral Nantes,Aral,51 North Ln,Nantes,France,Gasoline 98,1.932
ST09866,Rimi Roskilde,Rimi,120 Maple Blvd,Roskilde,Denmark,Gasoline 95,1.912
ST06900,Orlen Malaga,Orlen,149 Maple Dr,Malaga,Spain,Diesel,1.723
ST02768,Aral Leipzig,Aral,50 Lake Blvd,Leipzig,Germany,LPG,0.734
ST03487,Rimi Jyvaskyla,Rimi,104 Woodland Ave,Jyvaskyla,Finland,Gasoline 95,1.882
ST01197,Eni Ogre,Eni,98 Lakeview Way,Ogre,Latvia,LPG,0.663
ST00402,Rimi Kedainiai,Rimi,23 Lakeview Pl,Kedainiai,Lithuania,Gasoline 95,1.571
ST07619,Eni Turin,Eni,30 Elm Ave,Turin,Italy,Gasoline 98,1.897
ST01415,Neste Parnu,Neste,101 View Blvd,Parnu,Estonia,Diesel,1.58
ST06541,Neste Dijon,Neste,95 Arlington Ln,Dijon,France,Diesel,1.703
ST01564,Aral Rakvere,Aral,25 Lakeview Rd,Rakvere,Estonia,Gasoline 95,1.64
ST03204,Tamoil Bielefeld,Tamoil,121 Grove Dr,Bielefeld,Germany,LPG,0.758
ST08924,Shell Kecskemet,Shell,47 Woodland St,Kecskemet,Hungary,Gasoline 95,1.643
ST08119,Neste Parma,Neste,53 North Way,Parma,Italy,Gasoline 95,1.719
ST10944,Agip Funchal,Agip,179 Park Rd,Funchal,Portugal,LPG,0.787
ST06739,Astarta Barcelona,Astarta,147 Windsor Pl,Barcelona,Spain,Diesel,1.579
ST08225,Aral Prato,Aral,194 East Way,Prato,Italy,Diesel,1.754
ST01916,Jet Gdansk,Jet,23 Sunset Pl,Gdansk,Poland,Diesel,1.609
ST07945,Total Verona,Total,33 Market Rd,Verona,Italy,Gasoline 98,1.852
ST10130,Lukoil Kristiansand,Lukoil,47 Sunset Ln,Kristiansand,Norway,LPG,0.833
ST06922,Tamoil Malaga,Tamoil,195 Fairview Ave,Malaga,Spain,Gasoline 95,1.785
ST03538,Q8 Lahti,Q8,111 Windsor Ln,Lahti,Finland,Gasoline 98,1.895
ST01440,Aral Parnu,Aral,23 Hill Dr,Parnu,Estonia,LPG,0.766
ST06278,Teboil Lille,Teboil,40 Lakeview Way,Lille,France,LPG,0.753
ST08760,Astarta Miskolc,Astarta,32 Market Ln,Miskolc,Hungary,Diesel,1.506
ST09245,St1 Constanta,St1,28 Hill Ave,Constanta,Romania,Gasoline 95,1.662
ST10850,BP Setubal,BP,43 Maple Ave,Setubal,Portugal,LPG,0.733
ST03233,Rimi Mannheim,Rimi,147 Maple St,Mannheim,Germany,Gasoline 95,1.83
ST07624,Tamoil Turin,Tamoil,23 Windsor Way,Turin,Italy,Diesel,1.757
ST06115,Eni Nantes,Eni,135 Fairview Rd,Nantes,France,Gasoline 95,1.848
ST04062,Agip Linkoping,Agip,147 Spring Ln,Linkoping,Sweden,LPG,0.767
ST02068,Total Katowice,Total,43 Mill Way,Katowice,Poland,Gasoline 95,1.537
ST05949,Rimi Lyon,Rimi,158 Garden Ln,Lyon,France,Diesel,1.672
ST11041,Lukoil Queluz,Lukoil,129 Lake St,Queluz,Portugal,LPG,0.778
ST02499,Tamoil Berlin,Tamoil,197 West Ave,Berlin,Germany,Gasoline 98,1.966
ST05893,Neste Paris,Neste,187 Lakeview Pl,Paris,France,LPG,0.825
ST02381,Eni Rzeszow,Eni,23 Clifton Way,Rzeszow,Poland,Diesel,1.542
ST04965,Circle K Haarlemmermeer,Circle K,139 Windsor Rd,Haarlemmermeer,Netherlands,Gasoline 95,1.771
ST02598,BP Cologne,BP,128 Lake Rd,Cologne,Germany,Gasoline 95,1.851
ST01436,Tamoil Parnu,Tamoil,174 West Rd,Parnu,Estonia,LPG,0.754
ST05216,Neste Bruges,Neste,103 Central St,Bruges,Belgium,LPG,0.761
ST10977,Aral Almada,Aral,144 River Pl,Almada,Portugal,Gasoline 95,1.699
ST09155,Astarta Timisoara,Astarta,81 Grove Ave,Timisoara,Romania,LPG,0.707
ST05658,Shell Liberec,Shell,75 Meadow Dr,Liberec,Czech Republic,Gasoline 98,1.737
ST06746,Esso Barcelona,Esso,178 Arlington St,Barcelona,Spain,LPG,0.762
ST05409,Orlen Mechelen,Orlen,183 Maple Dr,Mechelen,Belgium,Gasoline 98,1.908
ST01344,BP Tartu,BP,116 Meadow Blvd,Tartu,Estonia,Gasoline 98,1.793
ST08811,Total Pecs,Total,62 Oak Ave,Pecs,Hungary,Gasoline 95,1.644
ST06829,Rimi Seville,Rimi,195 Pine Dr,Seville,Spain,Gasoline 95,1.828
ST02258,Rimi Sosnowiec,Rimi,118 Pine Pl,Sosnowiec,Poland,Gasoline 98,1.823
ST00901,Esso Liepaja,Esso,42 Hillside Blvd,Liepaja,Latvia,Gasoline 95,1.677
ST04084,Rimi Helsingborg,Rimi,37 Clifton Way,Helsingborg,Sweden,Gasoline 98,1.902
ST09068,Viada Bucharest,Viada,73 Cross St,Bucharest,Romania,Gasoline 95,1.534
ST02571,Q8 Munich,Q8,3 Brookside Ln,Munich,Germany,LPG,0.753
ST08348,Lukoil Linz,Lukoil,161 Mill Dr,Linz,Austria,Gasoline 95,1.782
ST00627,Total Kretinga,Total,102 View Rd,Kretinga,Lithuania,Gasoline 95,1.581
ST01359,Tamoil Tartu,Tamoil,98 Lake Blvd,Tartu,Estonia,Gasoline 95,1.757
ST09615,Rimi Aalborg,Rimi,93 Oak Way,Aalborg,Denmark,Gasoline 95,1.932
ST08709,Viada Debrecen,Viada,139 Grove Ln,Debrecen,Hungary,Gasoline 95,1.572
ST07502,Total Rome,Total,179 Windsor St,Rome,Italy,Gasoline 95,1.825
ST07553,Agip Milan,Agip,54 Garden Blvd,Milan,Italy,Diesel,1.658
ST04094,Tamoil Helsingborg,Tamoil,121 Lake Way,Helsingborg,Sweden,Gasoline 98,2.031
ST04738,Esso Breda,Esso,191 West Ave,Breda,Netherlands,Diesel,1.685
ST00991,Teboil Jurmala,Teboil,150 Elm St,Jurmala,Latvia,Gasoline 95,1.607
ST07706,Jet Genoa,Jet,95 Main Ln,Genoa,Italy,LPG,0.693
ST02162,Circle K Czestochowa,Circle K,23 Garden Dr,Czestochowa,Poland,Diesel,1.554
ST01004,Jet Jurmala,Jet,69 Meadow Pl,Jurmala,Latvia,Gasoline 95,1.608
ST02165,Neste Czestochowa,Neste,106 Windsor Pl,Czestochowa,Poland,LPG,0.731
ST06727,Viada Barcelona,Viada,38 Park Ln,Barcelona,Spain,Diesel,1.628
ST07644,Astarta Palermo,Astarta,61 Bridge Dr,Palermo,Italy,Gasoline 98,1.837
ST07433,Neste Oviedo,Neste,84 Windsor Pl,Oviedo,Spain,Gasoline 98,1.841
ST00783,St1 Rokiskis,St1,140 Brookside Ln,Rokiskis,Lithuania,Gasoline 95,1.576
ST02352,Jet Kielce,Jet,27 Church St,Kielce,Poland,Gasoline 98,1.698
ST03591,Agip Kuopio,Agip,94 Meadow Pl,Kuopio,Finland,LPG,0.86
ST05942,Shell Lyon,Shell,73 Main St,Lyon,France,Gasoline 95,1.743
ST07672,Viada Genoa,Viada,163 Brookside Dr,Genoa,Italy,Gasoline 95,1.719
ST00759,Circle K Rokiskis,Circle K,110 Valley Rd,Rokiskis,Lithuania,LPG,0.764
ST06340,Statoil Rennes,Statoil,187 East Ln,Rennes,France,Diesel,1.785
ST07715,Viada Bologna,Viada,190 Station Dr,Bologna,Italy,Gasoline 98,1.966
ST08736,Eni Debrecen,Eni,136 Bridge Dr,Debrecen,Hungary,Gasoline 95,1.63
ST06215,Lukoil Bordeaux,Lukoil,115 Station Blvd,Bordeaux,France,LPG,0.75
ST09554,Circle K Odense,Circle K,24 Brookside Blvd,Odense,Denmark,LPG,0.75
ST06962,Agip Murcia,Agip,107 Central Ave,Murcia,Spain,Gasoline 98,1.844
ST05469,Q8 Hasselt,Q8,47 Cedar Rd,Hasselt,Belgium,Diesel,1.693
ST00394,Orlen Kedainiai,Orlen,43 Garden Rd,Kedainiai,Lithuania,Diesel,1.632
ST00741,St1 Birzai,St1,164 Spring Dr,Birzai,Lithuania,Diesel,1.554
ST03889,Rimi Malmo,Rimi,184 West Way,Malmo,Sweden,Gasoline 95,1.892
ST03526,BP Lahti,BP,44 Pine St,Lahti,Finland,LPG,0.881
ST07547,Tamoil Milan,Tamoil,57 Hill Way,Milan,Italy,LPG,0.86
ST11006,BP Agualva,BP,150 Spring Ln,Agualva,Portugal,Diesel,1.725
ST01824,Rimi Wroclaw,Rimi,40 Park Blvd,Wroclaw,Poland,Diesel,1.619
ST00535,Teboil Ukmerge,Teboil,98 Park St,Ukmerge,Lithuania,Gasoline 95,1.691
ST01069,Esso Rezekne,Esso,60 Riverside Ln,Rezekne,Latvia,Gasoline 98,1.817
ST01073,St1 Rezekne,St1,137 Arlington Dr,Rezekne,Latvia,Gasoline 98,1.887
ST07789,Tamoil Florence,Tamoil,17 Lake Ln,Florence,Italy,Gasoline 95,1.684
ST09137,Tamoil Cluj-Napoca,Tamoil,37 South Rd,Cluj-Napoca,Romania,Diesel,1.452
ST01499,Shell Viljandi,Shell,46 Cross Pl,Viljandi,Estonia,Diesel,1.538
ST08978,Total Szekesfehervar,Total,109 Hill Blvd,Szekesfehervar,Hungary,Gasoline 98,1.83
ST04349,Agip Boras,Agip,10 Central Blvd,Boras,Sweden,LPG,0.833
ST01131,Circle K Jekabpils,Circle K,77 Valley Rd,Jekabpils,Latvia,Diesel,1.627
ST00003,Circle K Vilnius,Circle K,144 Spring Way,Vilnius,Lithuania,Gasoline 98,1.816
ST07925,Neste Verona,Neste,130 Sunset Ave,Verona,Italy,LPG,0.73
ST10103,Teboil Fredrikstad,Teboil,22 Forest Rd,Fredrikstad,Norway,Diesel,1.915
ST01490,Circle K Viljandi,Circle K,6 Riverside St,Viljandi,Estonia,Diesel,1.586
ST06688,Circle K Madrid,Circle K,189 Brookside Ave,Madrid,Spain,Diesel,1.626
ST03692,Teboil Joensuu,Teboil,9 Pine Dr,Joensuu,Finland,Diesel,1.725
ST10139,Esso Kristiansand,Esso,61 Lakeview Blvd,Kristiansand,Norway,Gasoline 98,2.096
ST03553,Statoil Lahti,Statoil,92 West Blvd,Lahti,Finland,Gasoline 95,1.859
ST10224,Rimi Tromsoe,Rimi,19 Garden St,Tromsoe,Norway,Gasoline 98,2.079
ST02659,Statoil Frankfurt,Statoil,42 River Dr,Frankfurt,Germany,Diesel,1.707
ST08368,Eni Linz,Eni,90 Station Ave,Linz,Austria,LPG,0.726
ST04471,Aral Rotterdam,Aral,4 South Pl,Rotterdam,Netherlands,Gasoline 98,1.856
ST10784,Jet Braga,Jet,69 Greenfield Ave,Braga,Portugal,LPG,0.692
ST10555,Viada St. Gallen,Viada,129 West Ave,St. Gallen,Switzerland,Diesel,1.853
ST09107,Agip Bucharest,Agip,30 Brookside Ln,Bucharest,Romania,Gasoline 95,1.659
ST06088,Viada Nantes,Viada,104 Forest Blvd,Nantes,France,LPG,0.774
ST08636,St1 Dornbirn,St1,176 Lake Ln,Dornbirn,Austria,Diesel,1.747
ST04814,Astarta Enschede,Astarta,155 Grove St,Enschede,Netherlands,LPG,0.869
ST08827,Circle K Gyor,Circle K,166 Arlington Rd,Gyor,Hungary,Diesel,1.519
ST01376,Lukoil Narva,Lukoil,156 Pine Ave,Narva,Estonia,Gasoline 98,1.925
ST06920,Total Malaga,Total,2 Park Rd,Malaga,Spain,LPG,0.777
ST06851,Viada Zaragoza,Viada,192 Cross Ave,Zaragoza,Spain,LPG,0.722
ST06050,Viada Nice,Viada,43 Mill Blvd,Nice,France,Gasoline 98,1.861
ST04886,Lukoil Arnhem,Lukoil,168 Valley Pl,Arnhem,Netherlands,LPG,0.826
ST07038,Total Las Palmas,Total,69 Woodland Pl,Las Palmas,Spain,Gasoline 95,1.781
ST02680,Q8 Stuttgart,Q8,45 Park Pl,Stuttgart,Germany,Diesel,1.671
ST03816,Eni Stockholm,Eni,59 Grove Way,Stockholm,Sweden,Diesel,1.699
ST03003,Jet Nuremberg,Jet,124 Hill Rd,Nuremberg,Germany,Gasoline 98,2.02
ST04229,Neste Umea,Neste,136 Valley Ln,Umea,Sweden,Gasoline 98,1.873
ST07627,Aral Turin,Aral,108 Station Blvd,Turin,Italy,Diesel,1.677
ST03647,Shell Kouvola,Shell,98 Grove Way,Kouvola,Finland,Gasoline 98,2.029
ST02381,Eni Rzeszow,Eni,23 Clifton Way,Rzeszow,Poland,Gasoline 98,1.733
ST08836,Orlen Gyor,Orlen,172 East Rd,Gyor,Hungary,LPG,0.683
ST00721,Agip Druskininkai,Agip,109 South St,Druskininkai,Lithuania,Gasoline 95,1.694
ST03628,Statoil Pori,Statoil,67 Station Dr,Pori,Finland,Gasoline 98,1.926
ST09630,Tamoil Aalborg,Tamoil,45 Spring Blvd,Aalborg,Denmark,LPG,0.778
ST04480,Neste The Hague,Neste,91 Central Ave,The Hague,Netherlands,LPG,0.727
ST05125,Circle K Charleroi,Circle K,89 Brookside Ave,Charleroi,Belgium,Gasoline 98,1.841
ST04931,Astarta Zaanstad,Astarta,81 Highland Ave,Zaanstad,Netherlands,LPG,0.823
ST07499,Q8 Rome,Q8,80 Grove Ave,Rome,Italy,Gasoline 95,1.736
ST09035,Astarta Szolnok,Astarta,143 Main Pl,Szolnok,Hungary,LPG,0.669
ST01101,Astarta Valmiera,Astarta,97 Garden Ln,Valmiera,Latvia,Gasoline 95,1.694
ST09043,Rimi Szolnok,Rimi,9 Garden Ln,Szolnok,Hungary,Gasoline 98,1.687
ST09126,Rimi Cluj-Napoca,Rimi,188 Garden Blvd,Cluj-Napoca,Romania,Gasoline 98,1.779
ST00077,Agip Kaunas,Agip,67 Bridge Ln,Kaunas,Lithuania,Gasoline 98,1.769
ST10022,St1 Stavanger,St1,94 West Pl,Stavanger,Norway,Diesel,1.846
ST01580,Astarta Maardu,Astarta,27 Hill Way,Maardu,Estonia,Gasoline 98,1.885
ST05187,Rimi Liege,Rimi,144 Elm Ln,Liege,Belgium,Gasoline 95,1.69
ST06271,Esso Lille,Esso,4 Main Blvd,Lille,France,Gasoline 98,1.913
ST04848,Orlen Haarlem,Orlen,109 Riverside Ln,Haarlem,Netherlands,Diesel,1.669
ST08168,Shell Taranto,Shell,67 East St,Taranto,Italy,Gasoline 95,1.758
ST09217,Tamoil Iasi,Tamoil,50 Sunset Way,Iasi,Romania,Gasoline 95,1.496
ST01194,Total Ogre,Total,99 North Blvd,Ogre,Latvia,LPG,0.768
ST06139,Orlen Montpellier,Orlen,65 Bridge St,Montpellier,France,Gasoline 98,1.952
ST09008,Teboil Szombathely,Teboil,27 Arlington Ln,Szombathely,Hungary,Gasoline 95,1.581
ST09162,Esso Timisoara,Esso,87 Elm Way,Timisoara,Romania,Diesel,1.541
ST04131,Total Jonkoping,Total,44 Park Blvd,Jonkoping,Sweden,Gasoline 98,1.985
ST10451,Astarta Lausanne,Astarta,164 East Blvd,Lausanne,Switzerland,Gasoline 95,1.977
ST06193,Q8 Strasbourg,Q8,162 Mill Dr,Strasbourg,France,Diesel,1.741
ST10526,Astarta Lucerne,Astarta,160 Central Blvd,Lucerne,Switzerland,Gasoline 98,2.051
ST01835,Tamoil Wroclaw,Tamoil,88 Mill Rd,Wroclaw,Poland,Gasoline 95,1.584
ST10194,Jet Sandnes,Jet,127 East Way,Sandnes,Norway,Diesel,1.908
ST07394,Neste Elche,Neste,98 Cross Dr,Elche,Spain,Gasoline 95,1.784
ST02031,Jet Lublin,Jet,20 Windsor Dr,Lublin,Poland,LPG,0.787
ST03115,Q8 Wuppertal,Q8,19 Lakeview Ln,Wuppertal,Germany,Gasoline 98,1.915
ST09492,Teboil Copenhagen,Teboil,200 Valley Ave,Copenhagen,Denmark,Gasoline 95,1.794
ST05735,BP Ceske Budejovice,BP,64 Market St,Ceske Budejovice,Czech Republic,LPG,0.782
ST03416,Total Oulu,Total,141 Cross St,Oulu,Finland,Gasoline 95,1.805
ST10797,Viada Amadora,Viada,194 Lake Rd,Amadora,Portugal,Diesel,1.728
ST10317,Circle K Geneva,Circle K,92 Meadow Ln,Geneva,Switzerland,Gasoline 95,1.82
ST01040,Total Ventspils,Total,126 Main Ave,Ventspils,Latvia,LPG,0.734
ST03559,Neste Kuopio,Neste,159 Windsor Ln,Kuopio,Finland,Diesel,1.747
ST03590,Agip Kuopio,Agip,196 Lake Ave,Kuopio,Finland,Diesel,1.713
ST01382,Astarta Narva,Astarta,27 Clifton Dr,Narva,Estonia,Gasoline 98,1.783
ST06075,Tamoil Nice,Tamoil,105 Maple Blvd,Nice,France,Gasoline 98,1.909
ST03109,Rimi Wuppertal,Rimi,188 Forest Dr,Wuppertal,Germany,Gasoline 95,1.855
ST10095,Esso Fredrikstad,Esso,130 Main Ave,Fredrikstad,Norway,Gasoline 95,1.99
ST07473,Circle K Rome,Circle K,12 Station Dr,Rome,Italy,LPG,0.716
ST01593,Teboil Maardu,Teboil,166 Fairview Ave,Maardu,Estonia,Gasoline 95,1.61
ST07835,Agip Bari,Agip,120 Hill Rd,Bari,Italy,LPG,0.733
ST01804,Jet Lodz,Jet,25 Greenfield Dr,Lodz,Poland,Gasoline 95,1.524
ST07740,Q8 Bologna,Q8,78 North Ln,Bologna,Italy,Gasoline 95,1.711
ST09481,Shell Copenhagen,Shell,177 View Rd,Copenhagen,Denmark,Gasoline 95,1.849
ST05208,Statoil Liege,Statoil,198 River Way,Liege,Belgium,LPG,0.77
ST08826,Circle K Gyor,Circle K,68 Greenfield Ave,Gyor,Hungary,Gasoline 95,1.649
ST09518,Lukoil Aarhus,Lukoil,113 East Pl,Aarhus,Denmark,Gasoline 95,1.783
ST08686,Teboil Budapest,Teboil,44 Mill St,Budapest,Hungary,LPG,0.795
ST10249,Viada Sarpsborg,Viada,53 River St,Sarpsborg,Norway,LPG,0.762
ST09158,Shell Timisoara,Shell,33 Arlington Way,Timisoara,Romania,LPG,0.638
ST04812,Astarta Enschede,Astarta,75 Bridge St,Enschede,Netherlands,Gasoline 98,1.86
ST07343,Total Vitoria,Total,48 Meadow Rd,Vitoria,Spain,Diesel,1.604
ST08516,Rimi Villach,Rimi,147 Sunset Rd,Villach,Austria,Gasoline 98,1.996
ST06791,Rimi Valencia,Rimi,177 Valley Way,Valencia,Spain,Gasoline 98,1.924
ST02690,Agip Stuttgart,Agip,155 Hill St,Stuttgart,Germany,Gasoline 98,1.956
ST00037,Agip Vilnius,Agip,31 Brookside Blvd,Vilnius,Lithuania,Diesel,1.515
ST06593,Q8 Angers,Q8,75 Garden Way,Angers,France,LPG,0.708
ST05705,Rimi Olomouc,Rimi,179 Bridge Ln,Olomouc,Czech Republic,Diesel,1.505
ST04185,Statoil Norrkoping,Statoil,109 Hillside Ln,Norrkoping,Sweden,Gasoline 95,1.826
ST00378,Eni Utena,Eni,34 Woodland Ave,Utena,Lithuania,Diesel,1.645
ST01793,Teboil Lodz,Teboil,128 Clifton Way,Lodz,Poland,Gasoline 98,1.836
ST06151,Q8 Montpellier,Q8,42 Fairview St,Montpellier,France,Gasoline 95,1.867
ST00959,Tamoil Jelgava,Tamoil,67 Park Ave,Jelgava,Latvia,LPG,0.65
ST01446,Statoil Parnu,Statoil,160 Spring Ave,Parnu,Estonia,Gasoline 98,1.773
ST00761,Viada Rokiskis,Viada,21 Highland Rd,Rokiskis,Lithuania,Gasoline 95,1.587
ST02456,St1 Zabrze,St1,151 Bridge Pl,Zabrze,Poland,Diesel,1.615
ST08322,Esso Graz,Esso,71 View Rd,Graz,Austria,Gasoline 98,2.002
ST10721,Orlen Porto,Orlen,123 Elm St,Porto,Portugal,LPG,0.845
ST00757,Circle K Rokiskis,Circle K,73 Brookside Blvd,Rokiskis,Lithuania,Gasoline 98,1.766
ST09701,Rimi Randers,Rimi,121 Arlington Rd,Randers,Denmark,Gasoline 98,2.1
ST00584,Total Plunge,Total,147 Park St,Plunge,Lithuania,Gasoline 95,1.6
ST03626,Aral Pori,Aral,66 Riverside Way,Pori,Finland,LPG,0.839
